timestamp,binance_bid,binance_ask,kraken_bid,kraken_ask,mid_binance,mid_kraken,spread
2025-05-21T00:46:36.293802,106610.0,106615.0,106754.0,106754.1,106612.5,106754.05,-141.5500000000029
2025-05-21T00:46:42.033796,106752.99,106753.12,106754.0,106754.1,106753.055,106754.05,-0.9950000000098953
2025-05-21T00:46:47.723807,106763.73,106765.25,106754.0,106754.1,106764.48999999999,106754.05,10.439999999987776
2025-05-21T00:46:53.403874,106763.72,106765.25,106796.8,106796.9,106764.485,106796.85,-32.36500000000524
2025-05-21T00:46:59.263997,106763.24,106765.25,106796.8,106796.9,106764.245,106796.85,-32.60500000001048
2025-05-21T00:47:04.963752,106763.23,106765.25,106796.8,106796.9,106764.23999999999,106796.85,-32.610000000015134
2025-05-21T00:47:10.654555,106776.81,106777.42,106796.8,106796.9,106777.11499999999,106796.85,-19.735000000015134
2025-05-21T00:47:16.353977,106763.21,106777.56,106796.8,106796.9,106770.38500000001,106796.85,-26.464999999996508
2025-05-21T00:47:22.153667,106760.95,106760.98,106796.8,106796.9,106760.965,106796.85,-35.88500000000931
2025-05-21T00:47:27.823741,106760.95,106760.96,106796.8,106796.9,106760.955,106796.85,-35.895000000004075
2025-05-21T00:47:33.514999,106754.57,106754.58,106796.8,106796.9,106754.57500000001,106796.85,-42.27499999999418
2025-05-21T00:47:39.183523,106754.57,106755.12,106818.7,106818.8,106754.845,106818.75,-63.904999999998836
2025-05-21T00:47:44.834133,106754.57,106755.12,106818.7,106818.8,106754.845,106818.75,-63.904999999998836
2025-05-21T00:47:50.512184,106754.57,106755.12,106831.7,106831.8,106754.845,106831.75,-76.90499999999884
2025-05-21T00:47:56.174468,106754.57,106755.22,106835.9,106836.0,106754.895,106835.95,-81.05499999999302
2025-05-21T00:48:01.843589,106754.56,106755.0,106835.9,106836.0,106754.78,106835.95,-81.16999999999825
2025-05-21T00:48:07.613682,106754.56,106760.96,106855.0,106855.1,106757.76000000001,106855.05,-97.2899999999936
2025-05-21T00:48:13.282867,106760.0,106762.24,106873.4,106873.5,106761.12,106873.45,-112.33000000000175
2025-05-21T00:48:18.994063,106760.0,106763.19,106873.4,106873.5,106761.595,106873.45,-111.85499999999593
2025-05-21T00:48:24.694139,106754.56,106827.24,106873.4,106873.5,106790.9,106873.45,-82.55000000000291
2025-05-21T00:48:30.333811,106824.72,106825.0,106873.4,106873.5,106824.86,106873.45,-48.58999999999651
2025-05-21T00:48:36.023429,106815.0,106827.24,106873.4,106873.5,106821.12,106873.45,-52.330000000001746
2025-05-21T00:48:41.771493,106754.56,106827.24,106873.4,106873.5,106790.9,106873.45,-82.55000000000291
2025-05-21T00:48:47.443821,106825.0,106827.24,106873.4,106873.5,106826.12,106873.45,-47.330000000001746
2025-05-21T00:48:53.121902,106754.56,106827.24,106873.4,106873.5,106790.9,106873.45,-82.55000000000291
2025-05-21T00:48:58.793608,106795.0,106805.0,106873.4,106873.5,106800.0,106873.45,-73.44999999999709
2025-05-21T00:49:04.493526,106765.0,106770.0,106873.4,106873.5,106767.5,106873.45,-105.94999999999709
2025-05-21T00:49:10.152497,106760.0,106827.24,106892.7,106892.8,106793.62,106892.75,-99.13000000000466
2025-05-21T00:49:15.843229,106835.0,106838.4,106910.9,106911.0,106836.7,106910.95,-74.25
2025-05-21T00:49:21.522315,106835.0,106838.4,106910.9,106911.0,106836.7,106910.95,-74.25
2025-05-21T00:49:27.203467,106835.0,106838.4,106910.9,106911.0,106836.7,106910.95,-74.25
2025-05-21T00:49:33.033078,106785.0,106800.0,106910.9,106911.0,106792.5,106910.95,-118.44999999999709
2025-05-21T00:49:38.692651,106795.0,106849.24,106910.9,106911.0,106822.12,106910.95,-88.83000000000175
2025-05-21T00:49:44.413269,106855.65,106857.8,106910.9,106911.0,106856.725,106910.95,-54.22499999999127
2025-05-21T00:49:50.102228,106857.78,106857.83,106910.9,106911.0,106857.805,106910.95,-53.145000000004075
2025-05-21T00:49:55.903808,106857.79,106857.8,106910.9,106911.0,106857.795,106910.95,-53.154999999998836
2025-05-21T00:50:01.593535,106857.79,106857.8,106910.9,106911.0,106857.795,106910.95,-53.154999999998836
2025-05-21T00:50:07.512980,106857.79,106860.68,106910.9,106911.0,106859.23499999999,106910.95,-51.71500000001106
2025-05-21T00:50:13.412905,106857.79,106860.68,106910.9,106911.0,106859.23499999999,106910.95,-51.71500000001106
2025-05-21T00:50:19.144150,106857.79,106860.69,106910.9,106911.0,106859.23999999999,106910.95,-51.7100000000064
2025-05-21T00:50:24.790747,106857.77,106860.69,106910.9,106911.0,106859.23000000001,106910.95,-51.71999999998661
2025-05-21T00:50:30.473761,106857.77,106860.69,106910.9,106911.0,106859.23000000001,106910.95,-51.71999999998661
2025-05-21T00:50:36.202938,106857.77,106860.0,106910.9,106911.0,106858.88500000001,106910.95,-52.064999999987776
2025-05-21T00:50:41.892774,106857.13,106857.15,106910.9,106911.0,106857.14,106910.95,-53.80999999999767
2025-05-21T00:50:47.602439,106857.13,106857.15,106910.9,106911.0,106857.14,106910.95,-53.80999999999767
2025-05-21T00:50:53.261723,106857.14,106857.16,106910.9,106911.0,106857.15,106910.95,-53.80000000000291
2025-05-21T00:50:58.922429,106857.14,106857.15,106911.5,106911.6,106857.14499999999,106911.55,-54.40500000001339
2025-05-21T00:51:04.562039,106857.14,106859.19,106911.5,106911.6,106858.16500000001,106911.55,-53.38499999999476
2025-05-21T00:51:10.241810,106857.14,106857.15,106919.0,106919.1,106857.14499999999,106919.05,-61.90500000001339
2025-05-21T00:51:16.051963,106857.14,106857.15,106919.0,106919.1,106857.14499999999,106919.05,-61.90500000001339
2025-05-21T00:51:21.732279,106857.14,106857.15,106919.0,106919.1,106857.14499999999,106919.05,-61.90500000001339
2025-05-21T00:51:27.503247,106857.14,106857.16,106919.0,106919.1,106857.15,106919.05,-61.90000000000873
2025-05-21T00:51:33.162782,106857.14,106857.15,106919.0,106919.1,106857.14499999999,106919.05,-61.90500000001339
