timestamp,binance_bid,binance_ask,kraken_bid,kraken_ask,mid_binance,mid_kraken,mid_spread,spread_buyB_sellK,spread_buyK_sellB
2025-05-31T02:16:57.250315,103787.98,103791.24,103781.7,103781.8,103789.61,103781.75,7.860000000000582,-9.540000000008149,6.179999999993015
2025-05-31T02:17:02.601959,103774.05,103774.06,103781.7,103781.8,103774.055,103781.75,-7.695000000006985,7.639999999999418,-7.75
2025-05-31T02:17:07.954973,103774.05,103774.43,103781.7,103781.8,103774.23999999999,103781.75,-7.510000000009313,7.2700000000040745,-7.75
2025-05-31T02:17:13.621567,103764.4,103774.43,103781.7,103781.8,103769.415,103781.75,-12.335000000006403,7.2700000000040745,-17.40000000000873
2025-05-31T02:17:19.312151,103742.71,103742.72,103781.7,103781.8,103742.715,103781.75,-39.03500000000349,38.979999999995925,-39.08999999999651
2025-05-31T02:17:25.140710,103742.71,103742.72,103781.7,103781.8,103742.715,103781.75,-39.03500000000349,38.979999999995925,-39.08999999999651
2025-05-31T02:17:30.880943,103742.71,103742.8,103781.7,103781.8,103742.755,103781.75,-38.99499999999534,38.89999999999418,-39.08999999999651
2025-05-31T02:17:36.562477,103740.01,103742.98,103781.7,103781.8,103741.495,103781.75,-40.25500000000466,38.720000000001164,-41.79000000000815
2025-05-31T02:17:42.202659,103742.71,103742.72,103781.7,103781.8,103742.715,103781.75,-39.03500000000349,38.979999999995925,-39.08999999999651
2025-05-31T02:17:47.981683,103742.71,103742.72,103781.7,103781.8,103742.715,103781.75,-39.03500000000349,38.979999999995925,-39.08999999999651
2025-05-31T02:17:53.669671,103742.71,103743.84,103781.7,103781.8,103743.275,103781.75,-38.47500000000582,37.86000000000058,-39.08999999999651
2025-05-31T02:17:59.432757,103743.74,103744.92,103781.7,103781.8,103744.33,103781.75,-37.419999999998254,36.779999999998836,-38.05999999999767
2025-05-31T02:18:05.191531,103743.52,103743.84,103796.5,103796.6,103743.68,103796.55,-52.870000000009895,52.66000000000349,-53.080000000001746
2025-05-31T02:18:10.893159,103743.83,103743.84,103796.5,103796.6,103743.83499999999,103796.55,-52.71500000001106,52.66000000000349,-52.770000000004075
2025-05-31T02:18:16.545462,103743.88,103744.02,103796.5,103796.6,103743.95000000001,103796.55,-52.59999999999127,52.479999999995925,-52.720000000001164
2025-05-31T02:18:22.230447,103744.01,103744.02,103796.5,103796.6,103744.015,103796.55,-52.53500000000349,52.479999999995925,-52.59000000001106
2025-05-31T02:18:27.900510,103743.84,103744.02,103796.5,103796.6,103743.93,103796.55,-52.620000000009895,52.479999999995925,-52.76000000000931
2025-05-31T02:18:33.621006,103744.01,103744.02,103796.5,103796.6,103744.015,103796.55,-52.53500000000349,52.479999999995925,-52.59000000001106
2025-05-31T02:18:39.311187,103744.01,103744.02,103796.5,103796.6,103744.015,103796.55,-52.53500000000349,52.479999999995925,-52.59000000001106
2025-05-31T02:18:44.980513,103743.95,103744.02,103796.5,103796.6,103743.985,103796.55,-52.56500000000233,52.479999999995925,-52.65000000000873
2025-05-31T02:18:50.759037,103743.95,103746.17,103796.5,103796.6,103745.06,103796.55,-51.49000000000524,50.330000000001746,-52.65000000000873
2025-05-31T02:18:56.470252,103746.13,103746.2,103796.5,103796.6,103746.16500000001,103796.55,-50.38499999999476,50.30000000000291,-50.470000000001164
2025-05-31T02:19:02.121242,103746.18,103746.2,103796.5,103796.6,103746.19,103796.55,-50.36000000000058,50.30000000000291,-50.420000000012806
2025-05-31T02:19:07.858516,103746.18,103746.2,103796.5,103796.6,103746.19,103796.55,-50.36000000000058,50.30000000000291,-50.420000000012806
